"ESPACIO","COLOR","NOMBRE_ESPACIO","ICONO"
"FpV","386cb0","FRENTE PARA LA VICTORIA, PARTIDO JUSTICIALISTA","small_blue"
"FCSS","0B0B61","DISTRITALES ALINEADOS AL FRENTE PARA LA VICTORIA","measle_turquoise"
"PJ no K","018571","FRENTE RENOVADOR, UNION POR CORDOBA, UNIDOS POR LA LIBERTAD Y EL TRABAJO Y OTROS","small_green"
"FCyS","d7191c","FRENTE PROGRESISTA, CIVICO Y SOCIAL, UNION CIVICA RADICAL, SOCIALISTA, UNEN, CC - ARI","small_red"
"Pro","868a08","UNION PRO - SANTA FE FEDERAL,  UNION PRO-DEMOCRATA, PROPUESTA FEDERAL","small_yellow"
"Izq","969696","FRENTE DE IZQUIERDA PO - PTS - IZQUIERDA SOCIALISTA, MST -PTP, NUEVA IZQUIERDA, MAS, AYL","measle_grey"
"ConFe","bf5b17","COMPROMISO FEDERAL, ES POSIBLE","measle_brown"
"Otro","61380b","OTROS DISTRITALES","small_purple"
